FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
31195181_096483497,31.331058333333335,-96.80971388888888,10.0,0,50,5,0
31201808_096474038,31.338355555555555,-96.79455,11.0,0,50,1,0
31204149_096461930,31.34485833333333,-96.77202777777778,5.0,0,14,5,0
31213876_096455225,31.360766666666667,-96.76451388888889,7.0,0,55,5,0
31211279_096450253,31.35355277777778,-96.75070277777778,21.0,0,10,3,0
31135494_096513691,31.231927777777777,-96.86025277777777,15.0,0,13,5,0
31120401_096523504,31.201113888888887,-96.87639999999999,5.0,0,26,5,0
31090789_096442746,31.152191666666667,-96.74096111111112,10.0,0,26,5,0
31210452_096483397,31.351255555555557,-96.80943611111111,26.0,0,12,3,0
31213891_096501002,31.360808333333335,-96.83611666666665,15.0,0,55,3,0
31171205_096522274,31.286680555555556,-96.87298333333332,1.0,0,50,3,0
31170791_096520480,31.285530555555557,-96.868,10.0,0,134,1,0
31244546_096452876,31.412627777777775,-96.75798888888889,23.0,0,55,3,0
31261832_096455759,31.438422222222222,-96.76599722222223,17.0,0,55,3,0
31274724_096465826,31.46312222222222,-96.78285,110.0,0,18,3,1
31202211_096411096,31.339475,-96.68637777777778,10.0,0,26,5,0
31191449_096412579,31.320691666666665,-96.69049722222222,7.0,0,26,3,0
31185549_096405819,31.31541388888889,-96.68283055555555,10.0,0,26,5,0
31270634_096470367,31.45176111111111,-96.78435277777777,34.0,0,54,7,1
31274487_096483805,31.462463888888887,-96.81056944444444,21.0,0,70,3,0
31170094_096411547,31.283594444444446,-96.68763055555556,11.0,0,26,3,0
31294550_096485746,31.495972222222225,-96.81596111111111,14.0,0,60,3,0
31254074_096503455,31.427983333333334,-96.84293055555555,13.0,0,55,3,0
31095018_096430912,31.163938888888886,-96.7192,8.0,0,5026,7,1
31282732_096512064,31.474255555555555,-96.85573333333333,37.0,0,24,7,1
31260864_096561711,31.435733333333335,-96.93808611111112,39.0,0,62,7,1
31192854_097011421,31.324594444444443,-97.02061388888889,21.0,0,53,5,0
31154043_096550109,31.261230555555557,-96.91696944444445,15.0,0,75,5,0
31111131_096575931,31.186475,-96.966475,14.0,0,14,5,0
31110507_096575993,31.184741666666667,-96.96664722222222,14.0,0,14,3,0
31100574_096581746,31.16826111111111,-96.97151666666667,5.0,0,75,3,0
31214359_097001896,31.362108333333335,-97.00526666666667,15.0,0,36,3,0
31170986_097005916,31.286072222222224,-97.01643333333334,110.0,0,215,3,1
31073155_096582929,31.125430555555557,-96.97480277777778,9.0,0,45,3,0
31041630_096544747,31.071194444444444,-96.91318611111112,21.0,0,7,3,0
31145838_097031741,31.24955,-97.05483611111111,84.0,0,27,1,0
31200915_097035288,31.335874999999998,-97.06468888888888,17.0,0,55,3,0
31052553_096592450,31.090425,-96.9901388888889,9.0,0,59,3,0
31063923_097031586,31.110897222222224,-97.05440555555555,5.0,0,36,5,0
31213087_097062425,31.358575000000002,-97.1067361111111,60.0,0,277,3,0
31163747_097080466,31.277075,-97.13462777777778,20.0,0,54,3,0
31144141_097112290,31.244836111111113,-97.18969444444444,26.0,0,55,3,0
31145257_097135353,31.247936111111112,-97.23153611111111,13.0,0,10,3,0
31104643_097121355,31.17956388888889,-97.20376388888889,14.0,0,45,3,0
31124048_097131121,31.211244444444443,-97.21978055555556,22.0,0,55,3,0
31044840_096584625,31.080111111111112,-96.97951388888889,2.0,0,220,5,0
31031754_097023425,31.054872222222222,-97.04284722222222,4.0,0,26,5,0
31024422_097033916,31.045616666666668,-97.06087777777778,5.0,0,26,5,0
31040927_097031766,31.069241666666667,-97.05490555555555,97.0,0,96,1,1
31031652_097052695,31.05458888888889,-97.09081944444443,4.0,0,26,3,0
31120557_097113711,31.20154722222222,-97.19364166666666,21.0,0,9,3,1
31145255_097070120,31.247930555555556,-97.11699999999999,13.0,0,55,3,0
31121506_097085930,31.204183333333333,-97.14980555555556,19.0,0,18,3,0
31124391_097093640,31.212197222222223,-97.16011111111112,19.0,0,50,3,1
31131168_097093911,31.21991111111111,-97.1608638888889,22.0,0,90,3,1
31140961_097091223,31.236002777777777,-97.15339722222222,14.0,0,55,1,0
31135385_097083840,31.231624999999998,-97.144,34.0,0,55,4,1
31065227_097083910,31.114519444444447,-97.14419444444445,8.0,0,26,3,0
31063993_097090299,31.111091666666667,-97.15083055555556,7.0,0,45,5,0
31080232_097065942,31.133977777777776,-97.11650555555555,9.0,0,42,3,0
31083898_097072470,31.14416111111111,-97.12352777777777,7.0,0,55,3,0
31055483_097081823,31.098563888888886,-97.13839722222222,1.0,0,25,3,0
31151221_097004970,31.253391666666666,-97.01380555555555,17.0,1,27,3,1
31130283_097030253,31.217452777777776,-97.05070277777777,19.0,0,63,3,0
31100485_097005433,31.16801388888889,-97.01509166666666,7.0,0,55,5,0
31105733_097053067,31.182591666666667,-97.09185277777777,19.0,0,99,3,0
31094235_097044114,31.16176388888889,-97.07809444444445,24.0,0,54,4,0
31082154_097040442,31.139316666666666,-97.06789444444443,24.0,0,55,3,0
31082148_097040453,31.1393,-97.067925,24.0,0,80,3,0
31092380_097051730,31.15661111111111,-97.08813888888888,30.0,0,54,3,0
31102072_097101661,31.172422222222224,-97.17128055555555,22.0,0,102,3,0
31154062_096595507,31.261283333333335,-96.99863055555555,3.0,0,55,3,0
31090355_097073066,31.15098611111111,-97.12518333333333,30.0,0,55,3,0
31152432_097014673,31.256755555555557,-97.02964722222222,11.0,0,50,5,0
31180555_096595552,31.30154166666667,-96.99875555555556,6.0,0,100,5,0
31211223_097012034,31.353397222222224,-97.02231666666667,,0,36,3,0
31184151_097084826,31.311530555555557,-97.14673888888889,9.0,0,20,5,0
31085831_097014451,31.149530555555554,-97.02903055555555,36.0,0,37,3,0
31050242_097020188,31.084005555555553,-97.03385555555555,18.0,0,118,3,0
31050197_097015730,31.083880555555556,-97.03258333333333,13.0,0,62,3,0
31050248_097010864,31.08402222222222,-97.01906666666666,13.0,0,31,3,0
31034682_097042845,31.063005555555556,-97.07456944444444,29.0,0,65,3,0
31162959_097073580,31.274886111111112,-97.1266111111111,8.0,0,26,3,0
31151360_097125326,31.253777777777778,-97.21479444444445,3.0,0,26,5,0
31054861_097063317,31.09683611111111,-97.10921388888889,23.0,0,50,3,1
31063494_097020761,31.109705555555557,-97.03544722222222,20.0,0,38,3,0
31070008_097011985,31.116688888888888,-97.02218055555555,26.0,0,38,3,1
31051256_096523342,31.08682222222222,-96.87594999999999,24.0,0,100,3,1
31051389_096523073,31.087191666666666,-96.87520277777777,34.0,0,230,7,1
31140841_097092273,31.235669444444447,-97.15631388888889,4.0,0,26,5,0
31141651_097081342,31.237919444444444,-97.13706111111112,18.0,0,55,3,0
31010061_097035771,31.01683611111111,-97.06603055555556,61.0,0,19,3,1
31101166_097082191,31.169905555555555,-97.13941944444446,16.0,0,21,3,1
31111586_096590988,31.18773888888889,-96.98607777777778,22.0,0,12,3,0
31141999_096594401,31.23888611111111,-96.99555833333334,25.0,0,20,3,1
31092734_097064104,31.15759444444444,-97.11139999999999,5.0,0,55,5,0
31101957_097061962,31.17210277777778,-97.10544999999999,10.0,0,50,3,0
31085567_097060034,31.14879722222222,-97.10009444444444,11.0,0,55,5,0
31031786_096571052,31.054961111111112,-96.95292222222223,24.0,0,62,3,0
31075847_096511482,31.132908333333333,-96.85411666666666,36.0,0,5,7,1
31083163_096591117,31.142119444444443,-96.98643611111112,34.0,0,45,7,0
31035424_096573471,31.065066666666667,-96.95964166666667,14.0,0,42,3,0
31174534_097135173,31.29592777777778,-97.23103611111111,15.0,0,89,3,0
31180635_096520081,31.30176388888889,-96.86689166666666,74.0,0,21,1,1
31174534_097085134,31.29592777777778,-97.14759444444445,20.0,0,11,3,0
31184219_096523839,31.311719444444446,-96.87733055555555,42.0,0,800,1,0
31042275_096581016,31.07298611111111,-96.96948888888889,5.0,0,104,1,0
31284823_098162430,31.480063888888886,-98.27341666666666,59.0,1,1988,1,1
31285206_098155112,31.481127777777775,-98.2642,85.0,0,1988,1,0
31290467_098125109,31.484630555555558,-98.21419166666666,85.0,0,1988,1,0
31290594_098115632,31.484983333333336,-98.19897777777778,85.0,0,2318,1,0
31422090_098045547,31.705805555555553,-98.082075,76.0,0,1606,3,0
31423713_098032158,31.710313888888887,-98.05599444444444,76.0,0,1606,4,1
31431930_098004305,31.722027777777775,-98.01195833333334,76.0,0,764,4,1
31433051_098001224,31.725141666666666,-98.0034,77.0,0,764,1,0
31442204_097584659,31.739455555555555,-97.97960833333333,77.0,0,764,1,0
31443827_097581298,31.74396388888889,-97.97027222222222,76.0,0,764,3,0
31445084_097574663,31.747455555555558,-97.96295277777779,77.0,0,764,1,0
31404357_098202339,31.678769444444445,-98.33983055555555,77.0,0,255,1,0
31420324_098095554,31.7009,-98.16542777777778,63.0,0,965,1,0
31402160_098255359,31.672666666666668,-98.43155277777778,20.0,0,205,5,0
31403151_098262941,31.675419444444447,-98.44150277777779,20.0,0,205,5,0
31421220_098104163,31.703388888888888,-98.17823055555556,4.0,0,1147,5,0
31445886_098100840,31.749683333333333,-98.16900000000001,56.0,1,1713,1,1
31470415_098122110,31.784486111111114,-98.20586111111112,56.0,1,1713,4,0
31452888_098103353,31.758022222222223,-98.17598055555555,56.0,1,1713,3,0
31403037_098025141,31.67510277777778,-98.04761388888889,56.0,1,2308,3,0
31393615_098003426,31.660041666666665,-98.00951666666667,56.0,1,2308,3,0
31383905_097582870,31.644180555555554,-97.97463888888889,3.0,1,2330,1,0
31381440_097573764,31.637333333333334,-97.96045555555555,59.0,1,2330,1,0
31373844_097561708,31.627344444444446,-97.93807777777778,59.0,1,2330,1,0
31421098_098071781,31.70305,-98.12161388888889,76.0,0,7321,4,0
31413788_098055080,31.693855555555555,-98.09744444444443,54.0,0,2101,1,0
31371016_097540367,31.61948888888889,-97.90101944444444,25.0,0,2330,5,0
31370632_097535549,31.61842222222222,-97.89874722222223,25.0,0,2330,5,0
31494322_098065508,31.82867222222222,-98.11529999999999,63.0,1,3894,1,0
31434935_098070591,31.730375,-98.11830833333333,10.0,1,4940,1,0
31583815_098020669,31.97726388888889,-98.03519166666666,17.0,1,6992,4,0
31583183_098020828,31.97550833333333,-98.03563333333334,17.0,1,6992,1,0
31554551_098040309,31.929308333333335,-98.06752499999999,10.0,1,3959,1,0
31552507_098042193,31.923630555555558,-98.07275833333333,63.0,1,3959,3,0
31482231_098065415,31.806197222222224,-98.11504166666666,66.0,0,4048,1,0
31471953_098071713,31.788758333333334,-98.12142499999999,66.0,0,4264,5,0
31460709_098072264,31.76863611111111,-98.12295555555555,66.0,0,4048,1,0
