FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
32071609_096584553,32.12113611111111,-96.9793138888889,18.0,0,37385,5,0
32082732_096564053,32.14092222222222,-96.94459166666667,18.0,0,220,5,0
32085925_096560052,32.149791666666665,-96.93347777777778,18.0,0,100,5,0
32153290_096522267,32.25913888888889,-96.87296388888888,14.0,0,35407,1,0
32160906_096521537,32.26918333333333,-96.8709361111111,14.0,0,36335,1,0
32181666_096514962,32.304627777777775,-96.86378333333333,14.0,0,36335,1,0
32161345_096521446,32.270402777777775,-96.87068333333333,14.0,0,36335,1,0
32191258_096513762,32.32016111111111,-96.86045,12.0,0,44154,1,0
32310693_096394633,32.518591666666666,-96.66286944444445,67.0,0,43620,1,0
32302228_096395162,32.506188888888886,-96.66433888888889,67.0,0,590,1,0
32302200_096394726,32.50611111111111,-96.66312777777779,67.0,0,140,1,1
32300698_096395032,32.50193888888889,-96.66397777777779,30.0,1,45694,1,0
32280704_096393878,32.46862222222222,-96.66077222222223,67.0,0,930,1,0
32280658_096394241,32.468494444444445,-96.66178055555557,67.0,0,1000,1,0
32280140_096394077,32.46705555555556,-96.661325,31.0,0,20847,5,0
32280582_096394141,32.46828333333333,-96.66150277777778,29.0,0,21609,5,0
32290767_096395300,32.48546388888889,-96.66472222222222,32.0,0,340,5,0
32295108_096395100,32.49752222222222,-96.66416666666667,32.0,0,3970,5,1
32301823_096394903,32.50506388888889,-96.66361944444445,29.0,0,22385,5,0
32302148_096394977,32.505966666666666,-96.663825,29.0,0,23771,5,0
32305066_096394925,32.514072222222225,-96.66368055555556,32.0,0,1580,5,1
32315633_096393357,32.532313888888886,-96.65932500000001,28.0,0,22658,5,1
32315486_096393265,32.531905555555554,-96.65906944444446,28.0,0,21403,5,1
32320669_096393326,32.53519166666666,-96.6592388888889,29.0,0,22658,5,1
32320524_096393181,32.53478888888889,-96.65883611111111,29.0,0,21403,5,1
32274200_096394298,32.461666666666666,-96.6619388888889,67.0,0,930,1,0
32242975_096392783,32.40826388888889,-96.65773055555556,66.0,0,180,1,0
32242828_096393048,32.40785555555556,-96.65846666666667,66.0,0,320,1,0
32221089_096382486,32.36969166666667,-96.6402388888889,65.0,0,44051,1,0
32214680_096380594,32.363,-96.63498333333334,65.0,0,44051,1,0
32200637_096365855,32.33510277777778,-96.61626388888888,65.0,0,40791,1,0
32274149_096394724,32.461525,-96.66312222222223,67.0,0,1000,1,0
32272874_096394540,32.45798333333334,-96.66261111111112,67.0,0,930,1,0
32272845_096394944,32.45790277777778,-96.66373333333334,67.0,0,1000,1,1
32271297_096395108,32.45360277777778,-96.6641888888889,29.0,1,42031,1,0
32254450_096393092,32.429027777777776,-96.6585888888889,28.0,1,44580,1,1
32243303_096392905,32.409175,-96.65806944444445,67.0,0,180,1,0
32243217_096393199,32.40893611111111,-96.65888611111112,67.0,0,320,1,1
32241860_096392703,32.405166666666666,-96.65750833333334,67.0,0,320,1,0
32233277_096390817,32.39243611111111,-96.65226944444446,28.0,1,44580,1,0
32223031_096384285,32.37508611111111,-96.64523611111112,32.0,0,2000,5,0
32241911_096392514,32.40530833333333,-96.65698333333334,31.0,0,21955,5,0
32243398_096393150,32.409438888888886,-96.65875000000001,30.0,0,23075,5,0
32243052_096392932,32.408477777777776,-96.65814444444445,31.0,0,21955,5,0
32241889_096392593,32.40524722222222,-96.65720277777778,30.0,0,23075,5,0
32250025_096393691,32.416736111111106,-96.66025277777779,32.0,0,1500,5,0
32255965_096393663,32.43323611111111,-96.66017500000001,32.0,0,2460,5,0
32264720_096395295,32.44644444444444,-96.66470833333334,32.0,0,1500,5,1
32272417_096394815,32.45671388888889,-96.663375,31.0,0,20847,5,0
32272477_096394896,32.45688055555556,-96.6636,29.0,0,21609,5,0
32272741_096394697,32.45761388888889,-96.66304722222223,31.0,0,20847,5,0
32272899_096394819,32.45805277777778,-96.66338611111112,29.0,0,21609,5,0
32273687_096394522,32.46024166666667,-96.66256111111112,31.0,0,20847,5,0
32273824_096394639,32.46062222222223,-96.66288611111112,29.0,0,21609,5,0
32274205_096394517,32.46168055555556,-96.66254722222223,31.0,0,20847,5,0
32274270_096394567,32.46186111111111,-96.66268611111111,30.0,0,21609,5,0
32200371_096365568,32.334363888888895,-96.61546666666666,27.0,0,20229,5,0
32200333_096365721,32.33425833333334,-96.61589166666666,26.0,0,20665,5,0
32205179_096372671,32.347719444444444,-96.62408611111111,27.0,0,990,5,0
32213375_096375476,32.359375,-96.63187777777777,28.0,0,5710,5,0
32172238_096330904,32.28955,-96.5525111111111,74.0,1,270,1,1
32165315_096320241,32.28143055555555,-96.53400277777777,64.0,1,49013,1,1
32185032_096360130,32.31397777777777,-96.6003611111111,27.0,1,40485,1,0
32194764_096364521,32.3299,-96.61255833333333,64.0,0,40485,1,0
32172343_096330831,32.28984166666667,-96.55230833333333,25.0,1,51459,1,0
32183777_096354698,32.310491666666664,-96.59638333333334,27.0,0,20509,5,0
32183785_096354872,32.310513888888885,-96.59686666666666,26.0,0,20612,5,0
32192886_096363184,32.32468333333334,-96.60884444444444,28.0,0,4360,5,0
32161673_096304626,32.27131388888889,-96.51285,24.0,0,1100,5,0
32171308_096324366,32.286966666666665,-96.54546111111111,24.0,0,26359,5,0
32171254_096324486,32.28681666666667,-96.54579444444444,24.0,0,26305,5,0
32253670_096395294,32.42686111111111,-96.66470555555556,64.0,0,2100,1,0
32211147_096381637,32.353186111111114,-96.63788055555557,92.0,0,1752,3,1
32304707_097040378,32.513075,-97.06771666666667,27.0,0,14534,5,0
32303289_097034368,32.50913611111111,-97.06213333333334,26.0,0,17858,5,0
32310131_097042427,32.51703055555556,-97.07340833333333,19.0,0,29393,5,0
32304622_097040133,32.512838888888886,-97.06703611111111,19.0,0,14859,5,0
32301527_097031802,32.504241666666665,-97.05500555555555,21.0,0,21187,5,0
32301447_097031881,32.504019444444445,-97.055225,21.0,0,17858,5,0
32303358_097034297,32.50932777777778,-97.06193611111111,19.0,0,21187,5,0
32285657_097010471,32.48238055555556,-97.01797499999999,14.0,0,3350,5,0
32285667_097010654,32.48240833333333,-97.01848333333334,14.0,0,3350,5,0
32290507_097011536,32.484741666666665,-97.02093333333333,17.0,0,21187,5,0
32290422_097011690,32.48450555555556,-97.0213611111111,17.0,0,17858,5,0
32285625_097004535,32.48229166666667,-97.01259722222223,17.0,0,29003,1,0
32312266_097050136,32.52296111111111,-97.0837111111111,6.0,0,5600,5,0
32312122_097045401,32.52256111111111,-97.08166944444444,6.0,0,19100,5,0
32252404_096511210,32.42334444444444,-96.8533611111111,53.0,0,15770,5,0
32252336_096511240,32.42315555555555,-96.85344444444443,53.0,0,15770,5,0
32250053_096495141,32.41681388888889,-96.83094722222222,53.0,0,7330,1,0
32245917_096495171,32.41643611111111,-96.83103055555556,53.0,0,8980,5,0
32245827_096495302,32.41618611111111,-96.83139444444444,53.0,0,8980,5,0
32244826_096495343,32.413405555555556,-96.83150833333333,53.0,0,9680,1,0
32244385_096494553,32.41218055555555,-96.82931388888889,53.0,0,1990,5,0
32244166_096493901,32.41157222222222,-96.82750277777778,53.0,0,33056,1,0
32240903_096492020,32.40250833333333,-96.82227777777777,53.0,0,1990,1,0
32234488_096485982,32.3958,-96.81661666666666,53.0,0,1830,1,0
32234433_096490124,32.39564722222222,-96.81701111111111,53.0,0,33056,1,0
32234369_096490255,32.395469444444444,-96.817375,53.0,0,1990,1,0
32232863_096484081,32.391286111111114,-96.8113361111111,53.0,0,11000,1,0
32232347_096484741,32.389852777777776,-96.81316944444444,53.0,0,23030,1,0
32231306_096484097,32.38696111111111,-96.81138055555556,53.0,0,12569,5,0
32231324_096483957,32.38701111111111,-96.81099166666667,53.0,0,11398,5,0
32230521_096483657,32.38478055555556,-96.81015833333333,53.0,0,11398,1,0
32230508_096483713,32.38474444444444,-96.81031388888889,53.0,0,12569,1,0
32223608_096482801,32.37668888888889,-96.80778055555555,53.0,0,23030,1,0
32255225_096535995,32.43118055555556,-96.89998611111112,51.0,0,160,1,0
32255007_096535982,32.430575,-96.89995,51.0,0,18540,5,0
32254788_096540058,32.429966666666665,-96.90016111111112,51.0,0,16717,5,0
32254226_096535990,32.42840555555555,-96.89997222222223,51.0,0,790,1,0
32254888_096535379,32.43024444444444,-96.89827500000001,51.0,0,18540,5,0
32254656_096535413,32.4296,-96.89836944444446,51.0,0,16717,5,0
32254932_096530345,32.430366666666664,-96.88429166666667,51.0,0,160,1,0
32254843_096530348,32.43011944444444,-96.88430000000001,51.0,0,18540,1,0
32254777_096530348,32.42993611111111,-96.88430000000001,51.0,0,16717,1,0
32254678_096530340,32.42966111111111,-96.88427777777778,51.0,0,790,1,0
32254826_096522524,32.43007222222222,-96.87367777777777,51.0,0,4600,5,0
32254741_096521074,32.42983611111111,-96.86965,51.0,0,28420,1,0
32254325_096515849,32.42868055555555,-96.86624722222221,51.0,0,28420,1,0
32244953_096494424,32.413758333333334,-96.82895555555555,36.0,1,9740,5,0
32232544_096484882,32.3904,-96.81356111111111,48.0,0,3130,5,0
32240324_096491363,32.4009,-96.82045277777777,11.0,1,1000,5,0
32213441_096480577,32.35955833333333,-96.80160277777777,41.0,0,11398,5,0
32213419_096480633,32.359497222222224,-96.80175833333332,41.0,0,12569,5,0
