FIPS,county,census_2020_count,july1_2023_pop_est,jan1_2024_pop_est,num_chg_20_23,num_chg_20_24,pct_chg_20_23,pct_chg_20_24,FIPS_NEW
245,Jefferson,256526,253138,253241,-3388,-3285,-1.3,-1.3,48245
247,Jim Hogg,4838,4652,4623,-186,-215,-3.8,-4.4,48247
249,Jim Wells,38891,38820,38898,-71,7,-0.2,0,48249
251,Johnson,179927,207702,214438,27775,34511,15.4,19.2,48251
253,Jones,19663,20372,20504,709,841,3.6,4.3,48253
255,Karnes,14710,14910,15018,200,308,1.4,2.1,48255
257,Kaufman,145310,179647,184070,34337,38760,23.6,26.7,48257
259,Kendall,44279,51967,54125,7688,9846,17.4,22.2,48259
261,Kenedy,350,347,344,-3,-6,-0.9,-1.7,48261
263,Kent,753,747,750,-6,-3,-0.8,-0.4,48263
265,Kerr,52598,53961,54006,1363,1408,2.6,2.7,48265
267,Kimble,4286,4430,4410,144,124,3.4,2.9,48267
269,King,265,233,222,-32,-43,-12.1,-16.2,48269
271,Kinney,3129,3169,3203,40,74,1.3,2.4,48271
273,Kleberg,31040,30646,30658,-394,-382,-1.3,-1.2,48273
275,Knox,3353,3242,3226,-111,-127,-3.3,-3.8,48275
277,Lamar,50088,50722,51056,634,968,1.3,1.9,48277
279,Lamb,13045,12670,12665,-375,-380,-2.9,-2.9,48279
281,Lampasas,21627,23233,23487,1606,1860,7.4,8.6,48281
283,La Salle,6664,6617,6630,-47,-34,-0.7,-0.5,48283
285,Lavaca,20337,20274,20113,-63,-224,-0.3,-1.1,48285
287,Lee,17478,18239,18413,761,935,4.4,5.3,48287
289,Leon,15719,16471,16513,752,794,4.8,5.1,48289
291,Liberty,91628,107375,110184,15747,18556,17.2,20.3,48291
293,Limestone,22146,22265,22408,119,262,0.5,1.2,48293
295,Lipscomb,3059,2978,2963,-81,-96,-2.6,-3.1,48295
297,Live Oak,11335,11566,11732,231,397,2,3.5,48297
299,Llano,21243,23117,23404,1874,2161,8.8,10.2,48299
301,Loving,64,52,51,-12,-13,-18.8,-20.3,48301
303,Lubbock,310639,322128,323452,11489,12813,3.7,4.1,48303
305,Lynn,5596,5633,5624,37,28,0.7,0.5,48305
307,McCulloch,7630,7406,7358,-224,-272,-2.9,-3.6,48307
309,McLennan,260579,262997,262362,2418,1783,0.9,0.7,48309
311,McMullen,600,565,560,-35,-40,-5.8,-6.7,48311
313,Madison,13455,13386,13258,-69,-197,-0.5,-1.5,48313
315,Marion,9725,9655,9804,-70,79,-0.7,0.8,48315
317,Martin,5237,5205,5221,-32,-16,-0.6,-0.3,48317
319,Mason,3953,4025,4044,72,91,1.8,2.3,48319
321,Matagorda,36255,36298,36385,43,130,0.1,0.4,48321
323,Maverick,57887,57775,57757,-112,-130,-0.2,-0.2,48323
325,Medina,50748,54889,56338,4141,5590,8.2,11,48325
327,Menard,1962,1940,1923,-22,-39,-1.1,-2,48327
329,Midland,169983,177539,180319,7556,10336,4.4,6.1,48329
331,Milam,24754,25941,26159,1187,1405,4.8,5.7,48331
333,Mills,4456,4501,4493,45,37,1,0.8,48333
335,Mitchell,8990,9077,9156,87,166,1,1.8,48335
337,Montague,19965,21522,21813,1557,1848,7.8,9.3,48337
339,Montgomery,620443,711365,728402,90922,107959,14.7,17.4,48339
341,Moore,21358,21148,21178,-210,-180,-1,-0.8,48341
343,Morris,11973,12071,12085,98,112,0.8,0.9,48343
345,Motley,1063,1020,1014,-43,-49,-4,-4.6,48345
347,Nacogdoches,64653,65441,65826,788,1173,1.2,1.8,48347
349,Navarro,52624,55836,56398,3212,3774,6.1,7.2,48349
351,Newton,12217,12080,12124,-137,-93,-1.1,-0.8,48351
353,Nolan,14738,14263,14112,-475,-626,-3.2,-4.2,48353
355,Nueces,353178,352725,353990,-453,812,-0.1,0.2,48355
357,Ochiltree,10015,9599,9642,-416,-373,-4.2,-3.7,48357
359,Oldham,1758,1776,1792,18,34,1,1.9,48359
361,Orange,84808,85327,85642,519,834,0.6,1,48361
363,Palo Pinto,28409,29500,29801,1091,1392,3.8,4.9,48363
365,Panola,22491,22856,22925,365,434,1.6,1.9,48365
367,Parker,148222,173313,177012,25091,28790,16.9,19.4,48367
369,Parmer,9869,9491,9466,-378,-403,-3.8,-4.1,48369
371,Pecos,15193,14600,14528,-593,-665,-3.9,-4.4,48371
373,Polk,50123,53801,54097,3678,3974,7.3,7.9,48373
375,Potter,118525,115599,115543,-2926,-2982,-2.5,-2.5,48375
377,Presidio,6131,5989,5929,-142,-202,-2.3,-3.3,48377
379,Rains,12164,12949,13144,785,980,6.5,8.1,48379
381,Randall,140753,149385,151045,8632,10292,6.1,7.3,48381
383,Reagan,3385,3203,3212,-182,-173,-5.4,-5.1,48383
385,Real,2758,2817,2793,59,35,2.1,1.3,48385
387,Red River,11587,11556,11576,-31,-11,-0.3,-0.1,48387
389,Reeves,14748,14887,15229,139,481,0.9,3.3,48389
391,Refugio,6741,6746,6721,5,-20,0.1,-0.3,48391
393,Roberts,827,801,795,-26,-32,-3.1,-3.9,48393
395,Robertson,16757,17124,17205,367,448,2.2,2.7,48395
397,Rockwall,107819,130150,134748,22331,26929,20.7,25,48397
399,Runnels,9900,9846,9816,-54,-84,-0.5,-0.8,48399
401,Rusk,52214,53462,53480,1248,1266,2.4,2.4,48401
403,Sabine,9894,10136,10254,242,360,2.4,3.6,48403
405,San Augustine,7918,7860,7811,-58,-107,-0.7,-1.4,48405
407,San Jacinto,27402,29672,30327,2270,2925,8.3,10.7,48407
409,San Patricio,68755,69767,70038,1012,1283,1.5,1.9,48409
411,San Saba,5730,5832,5807,102,77,1.8,1.3,48411
413,Schleicher,2451,2389,2409,-62,-42,-2.5,-1.7,48413
415,Scurry,16932,16425,16252,-507,-680,-3,-4,48415
417,Shackelford,3105,3322,3386,217,281,7,9,48417
419,Shelby,24022,24018,24035,-4,13,0,0.1,48419
421,Sherman,2782,2712,2668,-70,-114,-2.5,-4.1,48421
423,Smith,233479,244908,246008,11429,12529,4.9,5.4,48423
425,Somervell,9205,9880,9943,675,738,7.3,8,48425
427,Starr,65920,65740,65713,-180,-207,-0.3,-0.3,48427
429,Stephens,9101,9155,9106,54,5,0.6,0.1,48429
431,Sterling,1372,1394,1387,22,15,1.6,1.1,48431
433,Stonewall,1245,1242,1268,-3,23,-0.2,1.8,48433
435,Sutton,3372,3232,3229,-140,-143,-4.2,-4.2,48435
437,Swisher,6971,6833,6827,-138,-144,-2,-2.1,48437
439,Tarrant,2110640,2186501,2204054,75861,93414,3.6,4.4,48439
441,Taylor,143208,146010,146507,2802,3299,2,2.3,48441
443,Terrell,760,662,641,-98,-119,-12.9,-15.7,48443
445,Terry,11831,11416,11377,-415,-454,-3.5,-3.8,48445
447,Throckmorton,1440,1525,1504,85,64,5.9,4.4,48447
449,Titus,31247,31319,31371,72,124,0.2,0.4,48449
451,Tom Green,120003,120397,121038,394,1035,0.3,0.9,48451
453,Travis,1290188,1353237,1366769,63049,76581,4.9,5.9,48453
455,Trinity,13602,14297,14437,695,835,5.1,6.1,48455
457,Tyler,19798,20340,20456,542,658,2.7,3.3,48457
459,Upshur,40892,43274,43438,2382,2546,5.8,6.2,48459
461,Upton,3308,3234,3219,-74,-89,-2.2,-2.7,48461
463,Uvalde,24564,24758,24827,194,263,0.8,1.1,48463
465,Val Verde,47586,47518,47565,-68,-21,-0.1,0,48465
467,Van Zandt,59541,63034,63328,3493,3787,5.9,6.4,48467
469,Victoria,91319,91781,92147,462,828,0.5,0.9,48469
471,Walker,76400,80890,82048,4490,5648,5.9,7.4,48471
473,Waller,56794,63614,64391,6820,7597,12,13.4,48473
475,Ward,11644,11518,11496,-126,-148,-1.1,-1.3,48475
477,Washington,35805,36919,37349,1114,1544,3.1,4.3,48477
479,Webb,267114,272605,273411,5491,6297,2.1,2.4,48479
481,Wharton,41570,41700,41711,130,141,0.3,0.3,48481
483,Wheeler,4990,4865,4841,-125,-149,-2.5,-3,48483
485,Wichita,129350,130017,130200,667,850,0.5,0.7,48485
487,Wilbarger,12887,12530,12597,-357,-290,-2.8,-2.3,48487
489,Willacy,20164,20124,20124,-40,-40,-0.2,-0.2,48489
491,Williamson,609017,698870,713134,89853,104117,14.8,17.1,48491
493,Wilson,49753,52960,53266,3207,3513,6.4,7.1,48493
495,Winkler,7791,7608,7585,-183,-206,-2.3,-2.6,48495
497,Wise,68632,77625,79619,8993,10987,13.1,16,48497
499,Wood,44843,47887,48218,3044,3375,6.8,7.5,48499
501,Yoakum,7694,7571,7612,-123,-82,-1.6,-1.1,48501
503,Young,17867,18284,18450,417,583,2.3,3.3,48503
505,Zapata,13889,13471,13292,-418,-597,-3,-4.3,48505
507,Zavala,9670,9552,9494,-118,-176,-1.2,-1.8,48507
509,State of Texas,29145505,30516218,30749924,1370713,1604419,4.7,5.5,48509
