Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
1993,0880970,SAM RAYBURN WATER INC-C/O SAM RAYBURN WATER HICKORY HOLLOW SUBDIVISION,98,Ground Water,SS,I,SAN AUGUSTINE,NECHES,SAN AUGUSTINE,NECHES,OTHER AQUIFER,,N/A,1,N,N,0.00,"131,500","104,100","119,100","107,300","162,900","217,000","298,000","366,400","304,100","108,600","81,800","92,600","2,093,400"
1993,0880976,SAM RAYBURN WATER INC-LA PLAYA SUBDIVISION,23,Ground Water,SS,I,SAN AUGUSTINE,NECHES,SAN AUGUSTINE,NECHES,OTHER AQUIFER,,N/A,1,N,N,0.00,"13,100","21,700","23,400","16,200","11,900","33,000","49,300","42,000","35,600","20,400","21,500","19,700","307,800"
1993,0880986,SAM RAYBURN WATER INC-PARKWAY SUBDIVISION,315,Ground Water,SS,I,SAN AUGUSTINE,NECHES,SAN AUGUSTINE,NECHES,OTHER AQUIFER,,N/A,2,N,N,0.00,"348,500","277,000","424,600","384,800","342,100","535,000","716,300","752,300","565,300","449,000","397,200","216,000","5,408,100"
1993,0881050,AQUA TEXAS INC-PARKSIDE/TWIN OAKS WATER COMPANY,106,Ground Water,SS,I,HENDERSON,NECHES,HENDERSON,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,1,N,N,0.00,"113,000","114,000","118,000","139,000","165,000","143,000","213,000","266,000","183,000","158,000","144,000","141,000","1,897,000"
1993,0881200,CITY OF TYLER,"77,034",Surface Water,SS,I,SMITH,NECHES,SMITH,NECHES,,BELLWOOD LAKE/RESERVOIR,N/A,0,N,N,0.00,"12,716,000","8,632,000","12,575,000","14,633,000","13,718,000","23,977,000","25,795,000","36,703,000","32,710,000","16,498,000","14,427,000","14,477,000","226,861,000"
1993,0881200,CITY OF TYLER,"77,034",Surface Water,SS,I,SMITH,NECHES,SMITH,NECHES,,TYLER LAKE/RESERVOIR,N/A,0,N,N,0.00,"257,125,000","280,260,000","326,357,000","380,630,000","394,896,000","485,049,000","762,563,000","806,877,000","599,525,000","446,130,000","383,070,000","342,790,000","5,465,272,000"
1993,0881300,TYLER COUNTY WSC,0,Ground Water,SS,I,TYLER,NECHES,TYLER,NECHES,GULF COAST AQUIFER,,N/A,6,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"117,107,000","117,107,000"
1993,0886870,UNION HILL WSC,304,Ground Water,SS,I,HENDERSON,NECHES,HENDERSON,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,2,N,N,0.00,0,0,0,0,0,0,0,0,0,0,0,"7,777,100","7,777,100"
1993,0889960,U S FOREST SERVICE-RATCLIFF LAKE RECREATIONAL AREA,320,Ground Water,SS,I,HOUSTON,NECHES,HOUSTON,NECHES,OTHER AQUIFER,,N/A,3,N,N,0.00,"4,800","4,200","17,100","23,300","30,700","21,800","30,500","27,600","15,000","20,700","14,200","10,100","220,000"
1993,0903800,ORANGE COUNTY WCID 1-VIDOR SYSTEM,"9,700",Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,2,N,N,0.00,"26,282,000","23,660,000","28,420,000","29,613,000","29,975,000","31,810,000","32,785,000","37,521,000","35,168,000","32,964,000","32,198,000","29,570,000","369,966,000"
